,rate_code,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type,Pickup_longitude,Pickup_latitude,Dropoff_longitude,vendor_id
rate_code,1.0,-0.06124440865605855,-0.021327583884505223,0.039611761921019645,0.03485459159617306,-0.058502544441690014,-0.6499532015263502,-0.011600301014028504,0.016069675242171705,,0.02688778538474227,0.05077360425970518,,0.04338465584748796,-0.040577579659422935,0.0638141131086624,-0.0706535782746164
Dropoff_latitude,-0.06124440865605855,1.0,0.006473348659185266,0.037405228106863905,-0.007797026847842112,0.004145260377249509,0.053195697744776754,0.00021764503652968334,-0.00205711131873255,,-0.008005927782706338,-0.012012552468117572,,-0.6678373519819293,0.6688149248997445,-0.9987788305477753,0.027117771478552814
Passenger_count,-0.021327583884505223,0.006473348659185266,1.0,0.006299952217950701,0.009123538715149496,0.012479492216635017,0.02050114984254859,0.0028782642197087327,-0.0004570776134033667,,0.009624247253843712,-0.007993735602245334,,-0.005200118462549175,0.004097221206506641,-0.007446311355432086,0.10390898990637501
Trip_distance,0.039611761921019645,0.037405228106863905,0.006299952217950701,1.0,0.5202494380604494,-0.019792218908384056,-0.021796892701310085,0.3708766546390416,0.19026143002257706,,0.5600910691829403,-0.2038512536061796,,-0.02783210121248016,0.027169825015901556,-0.04190321238184215,0.00874544959186488
Fare_amount,0.03485459159617306,-0.007797026847842112,0.009123538715149496,0.5202494380604494,1.0,-0.015070041288768182,-0.001670127805863184,0.2184259395682715,0.10294786626788381,,0.9824826985021456,-0.12156908770958423,,0.009975083265913778,-0.01067254559662228,0.004853130212482559,0.018429533921607306
Extra,-0.058502544441690014,0.004145260377249509,0.012479492216635017,-0.019792218908384056,-0.015070041288768182,1.0,0.050837520019166214,0.000215805664750431,-0.003789263011701655,,0.03334954276199528,-0.007522128226136789,,-0.009375063292081707,0.007933244879280836,-0.005172539220659453,0.002655027943583318
MTA_tax,-0.6499532015263502,0.053195697744776754,0.02050114984254859,-0.021796892701310085,-0.001670127805863184,0.050837520019166214,1.0,0.021195988394700105,-0.01329365279590908,,0.007274125641068553,-0.07076367302707977,,-0.027309336879777345,0.024556337203002942,-0.055636200138655126,0.1438839073107867
Tip_amount,-0.011600301014028504,0.00021764503652968334,0.0028782642197087327,0.3708766546390416,0.2184259395682715,0.000215805664750431,0.021195988394700105,1.0,0.1084070310862137,,0.35643328127429746,-0.5326142752217197,,-7.727454077176395e-05,-0.002682453471756644,-0.0050089761654685564,-0.0016619152302422536
Tolls_amount,0.016069675242171705,-0.00205711131873255,-0.0004570776134033667,0.19026143002257706,0.10294786626788381,-0.003789263011701655,-0.01329365279590908,0.1084070310862137,1.0,,0.21230329931975694,-0.043940045513746744,,-0.0007704868238467385,0.00102964366240341,0.0018229048359199441,-0.001008859056094731
Ehail_fee,,,,,,,,,,,,,,,,,
Total_amount,0.02688778538474227,-0.008005927782706338,0.009624247253843712,0.5600910691829403,0.9824826985021456,0.03334954276199528,0.007274125641068553,0.35643328127429746,0.21230329931975694,,1.0,-0.19399380016707735,,0.009717495685098687,-0.010814694765198217,0.00447962014489303,0.017894972482749082
Payment_type,0.05077360425970518,-0.012012552468117572,-0.007993735602245334,-0.2038512536061796,-0.12156908770958423,-0.007522128226136789,-0.07076367302707977,-0.5326142752217197,-0.043940045513746744,,-0.19399380016707735,1.0,,0.008067524572644596,-0.003967401603816653,0.017953420395049387,-0.0541223990114461
Trip_type,,,,,,,,,,,,,,,,,
Pickup_longitude,0.04338465584748796,-0.6678373519819293,-0.005200118462549175,-0.02783210121248016,0.009975083265913778,-0.009375063292081707,-0.027309336879777345,-7.727454077176395e-05,-0.0007704868238467385,,0.009717495685098687,0.008067524572644596,,1.0,-0.9987154457245724,0.6691664134130259,0.011022731440462636
Pickup_latitude,-0.040577579659422935,0.6688149248997445,0.004097221206506641,0.027169825015901556,-0.01067254559662228,0.007933244879280836,0.024556337203002942,-0.002682453471756644,0.00102964366240341,,-0.010814694765198217,-0.003967401603816653,,-0.9987154457245724,1.0,-0.6677949697677938,-0.00917831263233808
Dropoff_longitude,0.0638141131086624,-0.9987788305477753,-0.007446311355432086,-0.04190321238184215,0.004853130212482559,-0.005172539220659453,-0.055636200138655126,-0.0050089761654685564,0.0018229048359199441,,0.00447962014489303,0.017953420395049387,,0.6691664134130259,-0.6677949697677938,1.0,-0.02571230431656047
vendor_id,-0.0706535782746164,0.027117771478552814,0.10390898990637501,0.00874544959186488,0.018429533921607306,0.002655027943583318,0.1438839073107867,-0.0016619152302422536,-0.001008859056094731,,0.017894972482749082,-0.0541223990114461,,0.011022731440462636,-0.00917831263233808,-0.02571230431656047,1.0
