,vendorid,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type
vendorid,1.0,-0.02639948922900684,-0.007104311802544725,0.009519025505125994,-0.033716742453921124,0.03589826317499881,0.0829428282012211,0.0009381103761672156,0.014610471562233981,0.004291563639883193,0.02591350142765446,-0.012259309682147872,-0.001020993391703372,,0.004492987164811774,-0.02537275860489467,-0.024857945240083917
rate_code,-0.02639948922900684,1.0,0.03678081470825331,-0.03184904052973293,0.031311858233744064,-0.026501733526775758,-0.00970929829895757,0.04578466940517107,0.1048341860225486,-0.11415041464524542,-0.8383833947029149,0.0019287772647014238,0.025975356963196812,,0.03541530755429744,0.03295769360115963,0.9131041846676816
Pickup_longitude,-0.007104311802544725,0.03678081470825331,1.0,-0.9990795579445738,0.29435215464753023,-0.29367018558619856,-0.001289843021567992,-0.006508599718933498,0.012929858491029879,-0.006079359404779123,-0.03377998066336784,0.0020968407182899505,0.000924779561336393,,0.004745694070207283,0.0036138809852043893,0.03127765475321468
Pickup_latitude,0.009519025505125994,-0.03184904052973293,-0.9990795579445738,1.0,-0.29377931508366323,0.2946485962607883,-0.0008873226315340315,0.004121645986229131,-0.01587678592380736,0.003292018621638009,0.0291918582546633,-0.007615767397156079,-0.0002980471922843146,,-0.006360477589356046,0.004203162084608892,-0.026409910779655616
Dropoff_longitude,-0.033716742453921124,0.031311858233744064,0.29435215464753023,-0.29377931508366323,1.0,-0.9989706645875217,-0.0024299263137964326,-0.011149241067825812,0.008005573409769049,-0.0035008053175694734,-0.026760853214280303,-0.007171581030032316,0.0036577023970793994,,0.0022855694783939042,0.016834546042856186,-0.0019847183216103554
Dropoff_latitude,0.03589826317499881,-0.026501733526775758,-0.29367018558619856,0.2946485962607883,-0.9989706645875217,1.0,0.0005207207561568041,0.006715212764228955,-0.012823807975130096,0.0011354071903085015,0.022367570020990116,0.0006962367722227277,-0.0037502106668986547,,-0.004691606418648638,-0.00767684030496025,0.007060074903503469
Passenger_count,0.0829428282012211,-0.00970929829895757,-0.001289843021567992,-0.0008873226315340315,-0.0024299263137964326,0.0005207207561568041,1.0,0.012753273138847773,0.014517717470836262,0.009605621503735323,0.008196704656962546,0.008297756942005288,0.0037180677701417033,,0.006451190792105237,-0.010174715386990154,-0.008620677834963267
Trip_distance,0.0009381103761672156,0.04578466940517107,-0.006508599718933498,0.004121645986229131,-0.011149241067825812,0.006715212764228955,0.012753273138847773,1.0,0.797336965876281,-0.039368195537870666,-0.023532224646112106,0.35558511396316855,0.21057159040114254,,0.3314699749645382,-0.18266909827322345,0.019620115374448747
Fare_amount,0.014610471562233981,0.1048341860225486,0.012929858491029879,-0.01587678592380736,0.008005573409769049,-0.012823807975130096,0.014517717470836262,0.797336965876281,1.0,-0.047552119655805795,-0.06157071485735969,0.34992394747418715,0.1747106137913387,,0.4030783323460824,-0.17957915843887315,0.08162800640907937
Extra,0.004291563639883193,-0.11415041464524542,-0.006079359404779123,0.003292018621638009,-0.0035008053175694734,0.0011354071903085015,0.009605621503735323,-0.039368195537870666,-0.047552119655805795,1.0,0.11948614779945503,-0.010623445198631192,-0.02238717617557879,,-0.0028289709063189063,-0.006458053308081615,-0.1295442320823589
MTA_tax,0.02591350142765446,-0.8383833947029149,-0.03377998066336784,0.0291918582546633,-0.026760853214280303,0.022367570020990116,0.008196704656962546,-0.023532224646112106,-0.06157071485735969,0.11948614779945503,1.0,0.00496797048271213,-0.020588857460632097,,-0.0182506084388364,-0.060991738998959745,-0.8683435887096759
Tip_amount,-0.012259309682147872,0.0019287772647014238,0.0020968407182899505,-0.007615767397156079,-0.007171581030032316,0.0006962367722227277,0.008297756942005288,0.35558511396316855,0.34992394747418715,-0.010623445198631192,0.00496797048271213,1.0,0.11370653119217677,,0.2231731872989379,-0.49206547935473205,-0.00499231838780436
Tolls_amount,-0.001020993391703372,0.025975356963196812,0.000924779561336393,-0.0002980471922843146,0.0036577023970793994,-0.0037502106668986547,0.0037180677701417033,0.21057159040114254,0.1747106137913387,-0.02238717617557879,-0.020588857460632097,0.11370653119217677,1.0,,0.11696903997029912,-0.04413491373886385,0.005229728174222714
Ehail_fee,,,,,,,,,,,,,,,,,
Total_amount,0.004492987164811774,0.03541530755429744,0.004745694070207283,-0.006360477589356046,0.0022855694783939042,-0.004691606418648638,0.006451190792105237,0.3314699749645382,0.4030783323460824,-0.0028289709063189063,-0.0182506084388364,0.2231731872989379,0.11696903997029912,,1.0,-0.11214063583848374,0.025879847591341664
Payment_type,-0.02537275860489467,0.03295769360115963,0.0036138809852043893,0.004203162084608892,0.016834546042856186,-0.00767684030496025,-0.010174715386990154,-0.18266909827322345,-0.17957915843887315,-0.006458053308081615,-0.060991738998959745,-0.49206547935473205,-0.04413491373886385,,-0.11214063583848374,1.0,0.025988668969363343
Trip_type,-0.024857945240083917,0.9131041846676816,0.03127765475321468,-0.026409910779655616,-0.0019847183216103554,0.007060074903503469,-0.008620677834963267,0.019620115374448747,0.08162800640907937,-0.1295442320823589,-0.8683435887096759,-0.00499231838780436,0.005229728174222714,,0.025879847591341664,0.025988668969363343,1.0
