column_name,u_index,datatype
lpep_pickup_datetime,0.798842876742618,object
lpep_dropoff_datetime,0.7976012097437727,object
total_amount,0.00098307864595098,float64
trip_distance,0.0003814944771455934,float64
tip_amount,0.0002751121145747414,float64
fare_amount,0.00019325987243655983,float64
tolls_amount,6.967235595112646e-05,int64
PULocationID,2.2315595671387692e-05,int64
DOLocationID,2.2315595671387692e-05,int64
extra,2.555220878403171e-06,float64
passenger_count,9.369143220811626e-07,int64
RatecodeID,6.813922342408456e-07,int64
mta_tax,5.962182049607399e-07,float64
payment_type,5.110441756806342e-07,int64
improvement_surcharge,3.406961171204228e-07,float64
trip_type,3.406961171204228e-07,int64
store_and_fwd_flag,2.555220878403171e-07,object
VendorID,2.555220878403171e-07,int64
ehail_fee,1.703480585602114e-07,float64
