dataset,datatype,key,u_index
gun-violence,int64,incident_id,1.0
gun-violence,object,incident_url,1.0
gun-violence,object,sources,0.91
gun-violence,object,source_url,0.89
gun-violence,object,address,0.83
gun-violence,object,notes,0.57
gun-violence,object,participant_name,0.47
gun-violence,float64,longitude,0.47
gun-violence,float64,latitude,0.42
gun-violence,object,location_description,0.12
gun-violence,object,participant_age,0.08
gun-violence,object,incident_characteristics,0.08
gun-violence,object,city_or_county,0.05
gun-violence,object,gun_type,0.01
gun-violence,object,date,0.01
gun-violence,object,participant_status,0.01
gun-violence,object,participant_gender,0.0
gun-violence,float64,state_house_district,0.0
gun-violence,object,state,0.0
gun-violence,object,participant_type,0.0
gun-violence,object,participant_relationship,0.0
gun-violence,bool,incident_url_fields_missing,0.0
gun-violence,object,participant_age_group,0.0
gun-violence,float64,congressional_district,0.0
gun-violence,int64,n_killed,0.0
gun-violence,float64,n_guns_involved,0.0
gun-violence,int64,n_injured,0.0
gun-violence,object,gun_stolen,0.0
gun-violence,float64,state_senate_district,0.0
